driver_gene,target_gene,mean_drive_gene_ref_dep_score_for_target,mean_drive_gene_mut_dep_score_for_target,delta_rnai_dep_score_driver_and_target,ref_pool_cell_lines_for_driver,mut_pool_cell_lines_for_driver,ref_dep_score_observations_for_target,mut_dep_score_observations_for_target
TP53 (7157),ACD (65057),0.09445751680336666,0.09707100992220126,0.0026134931188346033,12,78,12,78
TP53 (7157),ACE (1636),0.08581652806142,0.10294369038308135,0.01712716232166135,19,89,19,89
TP53 (7157),ACE2 (59272),-0.050273167813278945,0.03110186512529376,0.0813750329385727,19,89,19,89
TP53 (7157),ACER1 (125981),-0.013693551356012109,0.001996473911360164,0.015690025267372273,19,89,19,89
TP53 (7157),ACER2 (340485),0.01491717041623684,0.003168851730601724,-0.011748318685635117,19,89,19,89
TP53 (7157),ACER3 (55331),-0.0921195646857637,-0.08740855341809593,0.004711011267667764,19,89,19,89
TP53 (7157),ACHE (43),-0.005016557025260002,-0.010318614041663827,-0.005302057016403825,20,99,20,99
TP53 (7157),ACIN1 (22985),-0.13207345740053247,-0.14963779869178162,-0.017564341291249147,20,99,20,99
TP53 (7157),ACKR1 (2532),-0.05317753813842025,0.007181397103347641,0.06035893524176789,19,89,19,89
TP53 (7157),ACKR2 (1238),-0.051488489956362,-0.03796305329146365,0.013525436664898353,20,99,20,99
TP53 (7157),ACKR3 (57007),-0.194513286106127,-0.17379831673407029,0.02071496937205672,20,99,20,99
TP53 (7157),ACKR4 (51554),-0.07965151374144801,-0.11820547995493583,-0.03855396621348782,20,99,20,99
TP53 (7157),ACLY (47),-0.38130236000647505,-0.292820720455922,0.08848163955055305,20,99,20,99
TP53 (7157),ACMSD (130013),-0.004391766045642107,0.01891071328619819,0.023302479331840296,19,89,19,89
TP53 (7157),ACO1 (48),-0.046656829465774,-0.05638678709646448,-0.009729957630690483,20,99,20,99
TP53 (7157),ACO2 (50),-0.43291591788627504,-0.47324050161995845,-0.04032458373368342,20,99,20,99
TP53 (7157),ACOT11 (26027),-0.24796710766683,-0.21839842569977944,0.029568681967050564,20,99,20,99
TP53 (7157),ACOT12 (134526),0.005040537342915,0.011264858428469726,0.006224321085554726,20,99,20,99
TP53 (7157),ACOT13 (55856),0.01607793053260947,-0.02907270082334631,-0.04515063135595578,19,89,19,89
TP53 (7157),ACOT1 (641371),-0.068544166069295,-0.061491920628791594,0.00705224544050341,20,99,20,99
TP53 (7157),ACOT2 (10965),0.179045131116915,0.163036749226595,-0.01600838189032,20,99,20,99
TP53 (7157),ACOT4 (122970),0.11899053149615788,0.09009878919344183,-0.028891742302716045,19,89,19,89
TP53 (7157),ACOT7 (11332),0.006855193862273685,0.008268610285282583,0.0014134164230088985,19,89,19,89
TP53 (7157),ACOT8 (10005),-0.23258391108696314,-0.3255863743585559,-0.09300246327159278,19,89,19,89
TP53 (7157),ACOT9 (23597),-0.03312431681254349,0.005787923867393738,0.03891224067993723,20,99,20,99
TP53 (7157),ACOX1 (51),-0.025718851818632003,-0.06242218687197292,-0.03670333505334092,20,99,20,99
TP53 (7157),ACOX2 (8309),0.04142376812207,0.0500388369248194,0.008615068802749398,20,99,20,99
TP53 (7157),ACOX3 (8310),-0.12270117197147198,-0.11454920114703857,0.008151970824433419,20,99,20,99
TP53 (7157),ACOXL (55289),-0.064416358206229,-0.09984252448596183,-0.03542616627973283,20,99,20,99
TP53 (7157),ACOXL-AS1 (400997),0.008564315796915833,0.07816951407410902,0.06960519827719319,12,78,12,78
TP53 (7157),ACP1 (52),0.04546374957901052,0.0017094201522140802,-0.04375432942679644,19,89,19,89
TP53 (7157),ACP2 (53),-0.07153075252566263,-0.11830232901207757,-0.046771576486414945,19,89,19,89
TP53 (7157),ACP5 (54),-0.11008922513097501,-0.13006100780115418,-0.01997178267017917,20,99,20,99
TP53 (7157),ACP6 (51205),0.0007845712765731562,0.005034605385296967,0.004250034108723811,19,89,19,89
TP53 (7157),ACP7 (390928),-0.0928525918505345,-0.14198593296647274,-0.04913334111593824,20,99,20,99
TP53 (7157),ACPP (55),0.018195112252710526,-0.07538819742697903,-0.09358330967968956,19,89,19,89
TP53 (7157),ACR (49),-0.26690225838777,-0.20471659607541287,0.062185662312357115,19,89,19,89
TP53 (7157),ACRBP (84519),0.03994937343960525,0.06146199316128942,0.021512619721684167,19,89,19,89
TP53 (7157),ACRV1 (56),-0.16993127233413333,-0.11438870602671902,0.055542566307414304,12,78,12,78
TP53 (7157),ACSBG1 (23205),0.13317313858945,0.08693173701056395,-0.046241401578886066,12,78,12,78
TP53 (7157),ACSBG2 (81616),0.06892193732860834,0.06594576861142551,-0.0029761687171828283,12,78,12,78
TP53 (7157),ACSF2 (80221),-0.10114909299118334,-0.14308458061402293,-0.04193548762283959,12,78,12,78
TP53 (7157),ACSF3 (197322),0.213566843277725,0.26227079071694664,0.048703947439221656,12,78,12,78
TP53 (7157),ACSL1 (2180),-0.02303952663326221,0.02994702349998367,0.05298655013324588,19,89,19,89
TP53 (7157),ACSL3 (2181),-0.12711636799365547,-0.12926468659019627,-0.002148318596540799,20,99,20,99
TP53 (7157),ACSL4 (2182),-0.13327447438302997,-0.1280747965228742,0.005199677860155766,20,99,20,99
