drug_name,moa,avg_delta_s_prime,gene_count,dbscan_cluster_label
uprosertib,['AKT inhibitor'],-0.13635997798748128,925,-1
afobazole,['anxiolytic'],-0.13630333130128758,883,-1
KW-2478,['HSP inhibitor'],-0.13587790846425787,925,17
AP26113,['ALK tyrosine kinase receptor inhibitor'],-0.1352887694402847,837,-1
VU0364770,['glutamate receptor positive allosteric modulator'],-0.13491538053992363,859,-1
PHA-793887,['CDK inhibitor'],-0.13464171578931242,925,16
RS-16566,['serotonin receptor antagonist'],-0.13369900677343402,840,-1
oxyquinoline,['chelating agent'],-0.13337752773832687,793,-1
TG-101209,['JAK inhibitor'],-0.13269515281644542,893,-1
tremorine,['acetylcholine receptor agonist'],-0.132333998685883,817,-1
teniposide,['topoisomerase inhibitor'],-0.13162481642301024,865,6
cabozantinib,"['RET tyrosine kinase inhibitor', ' VEGFR inhibitor']",-0.13138784952575333,865,-1
sufentanil,['opioid receptor modulator'],-0.13079853433366187,714,-1
ZM-447439,['Aurora kinase inhibitor'],-0.1304377047299076,922,21
tenovin-6,['SIRT inhibitor'],-0.12757164427080217,896,-1
JNJ-7706621,['CDK inhibitor'],-0.12746278066444708,849,16
PRT062607,['syk inhibitor'],-0.1272581470230673,903,-1
AZD4547,['FGFR inhibitor'],-0.12707922421203371,707,-1
baicalein,['lipoxygenase inhibitor'],-0.12651517172138593,846,-1
R547,['CDK inhibitor'],-0.12607094510908462,826,16
midostaurin,"['FLT3 inhibitor', ' KIT inhibitor', ' PKC inhibitor']",-0.12604670942867743,873,-1
sonidegib,['smoothened receptor antagonist'],-0.12569601220825818,914,-1
doxorubicin,['topoisomerase inhibitor'],-0.12559816330027157,874,6
temazepam,['benzodiazepine receptor agonist'],-0.12388054864027752,771,14
sobetirome,['thyroid hormone receptor agonist'],-0.12299328801291862,792,-1
AZ3146,['monopolar spindle 1 kinase inhibitor'],-0.12199978738856064,864,-1
VLX600,['ubiquitin C-terminal hydrolase inhibitor'],-0.12188144131014285,910,-1
"2,3-DCPE",['Bcl-XL downregulator'],-0.12166386658253286,884,-1
demecarium,['acetylcholinesterase inhibitor'],-0.12042435059397298,797,-1
RGFP966,['HDAC inhibitor'],-0.12014810605535603,772,11
scriptaid,['HDAC inhibitor'],-0.12003966902612995,922,11
SB-939,['HDAC inhibitor'],-0.1195281150506036,909,11
DU-728,['structural glycoprotein antagonist'],-0.11924632684972482,822,-1
pilaralisib,['PI3K inhibitor'],-0.1185729737992654,891,8
atenolol-(-),['adrenergic receptor antagonist'],-0.11796721264329842,724,18
PD-318088,['MEK inhibitor'],-0.11772647570819282,882,4
delanzomib,['proteasome inhibitor'],-0.11759996064010779,909,-1
KX2-391,"['src inhibitor', ' tubulin polymerization inhibitor']",-0.11756844596456789,853,-1
dovitinib,"['EGFR inhibitor', ' FGFR inhibitor', ' FLT3 inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",-0.11526140625290915,907,-1
benzydamine,['prostanoid receptor antagonist'],-0.11517774539724186,872,-1
BVD-523,['MAP kinase inhibitor'],-0.11419929648753699,876,-1
EMD-53998,['phosphodiesterase inhibitor'],-0.11366956573903475,868,-1
chlorogenic-acid,['antioxidant'],-0.1135834815018974,908,-1
CR8-(R),['CDK inhibitor'],-0.11277326413897953,922,16
romidepsin,['HDAC inhibitor'],-0.11240910200236842,858,11
7-nitroindazole,['nitric oxide synthase inhibitor'],-0.11177156139709378,825,-1
oligomycin-a,"['ATP synthase inhibitor', ' ATPase inhibitor']",-0.11079479233736753,779,-1
bosutinib,"['Abl kinase inhibitor', ' Bcr-Abl kinase inhibitor', ' src inhibitor']",-0.11050652915866443,883,-1
buparlisib,['PI3K inhibitor'],-0.1098492263744461,826,8
obidoxime,['cholinesterase reactivator'],-0.10976862628592307,849,-1
sodium-stibogluconate,['tyrosine phosphatase inhibitor'],-0.10923630392927113,874,-1
nonoxynol-9,['membrane integrity inhibitor'],-0.10879596566685211,905,-1
tetrahydropapaverine,['None'],-0.10822471950528743,885,1
oxonic-acid,['uricase inhibitor'],-0.10721511579099059,762,-1
sclareol,['None'],-0.1069798519592462,898,1
Ro-9187,['HCV inhibitor'],-0.10624359736418289,844,-1
nanchangmycin,['other antibiotic'],-0.10587612552642242,924,-1
VER-49009,['HSP inhibitor'],-0.10371922795271038,876,17
darifenacin,['acetylcholine receptor antagonist'],-0.10197799341716687,899,-1
SIB-1757,['glutamate receptor antagonist'],-0.09974711277002475,764,12
pyrithione-zinc,['ATP synthase inhibitor'],-0.09966435073153468,913,-1
givinostat,['HDAC inhibitor'],-0.0992518381910349,826,11
TAK-632,['RAF inhibitor'],-0.09917437776450859,826,-1
SB-431542,['TGF beta receptor inhibitor'],-0.09875248008129528,893,-1
AG-14361,['PARP inhibitor'],-0.0985320496892229,780,-1
KPT-276,['exportin antagonist'],-0.09685302635296106,897,-1
phenylmercuric-acetate,['other antifungal'],-0.09647014953680504,903,-1
echinomycin,['DNA intercalating agent'],-0.09441412805212782,900,-1
maprotiline,"['norepinephrine reputake inhibitor', ' tricyclic antidepressant']",-0.09401310345952384,809,-1
valrubicin,"['DNA inhibitor', ' topoisomerase inhibitor']",-0.09388731619985319,858,-1
palomid-529,"['AKT inhibitor', ' mTOR inhibitor']",-0.09359806047184979,787,-1
rheochrysidin,['protein tyrosine kinase inhibitor'],-0.09281810720237023,895,-1
voreloxin,['topoisomerase inhibitor'],-0.0925288198092115,853,6
danazol,"['estrogen receptor antagonist', ' progesterone receptor agonist']",-0.0923225279719517,868,-1
AZ20,['ATR kinase inhibitor'],-0.09131607047117103,857,-1
ivermectin,['benzodiazepine receptor agonist'],-0.09077435156980036,912,14
benfotiamine,['antioxidant'],-0.09018726098609771,753,-1
WAY-600,['mTOR inhibitor'],-0.08895594302556169,912,20
norfloxacin,['bacterial DNA gyrase inhibitor'],-0.08887360458535011,898,-1
ciclopirox,['membrane integrity inhibitor'],-0.08825006354660012,905,-1
1-naphthyl-PP1,['src inhibitor'],-0.08654122336524667,833,-1
BVT-948,['tyrosine phosphatase inhibitor'],-0.084446259251288,787,-1
digoxin,['ATPase inhibitor'],-0.0843987329594987,826,-1
GGTI-298,['GGTase inhibitor'],-0.08347062244954849,887,-1
quinidine,['sodium channel blocker'],-0.0834544792434228,823,7
terconazole,['sterol demethylase inhibitor'],-0.0829624089703866,764,-1
tioguanine,['purine antagonist'],-0.08280874725743267,830,-1
BAY-11-7085,['NFkB pathway inhibitor'],-0.08261515693597662,856,-1
MK-8245,['stearoyl-CoA desaturase inhibitor'],-0.08259193373836268,910,-1
vatalanib,"['KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",-0.08222173170663778,909,-1
warfarin,['vitamin K antagonist'],-0.08208135091976443,765,-1
mefexamide,['psychoactive drug'],-0.08071213448283128,874,-1
mitoxantrone,['topoisomerase inhibitor'],-0.07930578038389759,805,6
hexylresorcinol,['local anesthetic'],-0.07785702892118922,685,-1
M-344,['HDAC inhibitor'],-0.07697750288484861,896,11
JIB04,['histone lysine demethylase inhibitor'],-0.07637607978167238,897,-1
alpelisib,['PI3K inhibitor'],-0.07386832342115268,867,8
trichostatin-a,['HDAC inhibitor'],-0.07354174509368813,859,11
HA14-1,['BCL inhibitor'],-0.07296507967947685,851,-1
ER-27319,"['mediator release inhibitor', ' SYK inhibitor']",-0.0723390101803837,907,-1
repaglinide,['insulin secretagogue'],-0.0719092891283467,796,-1
lanatoside-c,['cardiac glycoside'],-0.0712432312770735,874,-1
deforolimus,['mTOR inhibitor'],-0.06767439394878011,889,20
ibutilide,['potassium channel blocker'],-0.06760015823384616,812,-1
XL388,['mTOR inhibitor'],-0.06755426673607656,826,20
xylazine,['adrenergic receptor agonist'],-0.06731495428292902,771,2
ABT-702,['adenosine kinase inhibitor'],-0.06731003557914639,915,-1
PIK-75,"['DNA protein kinase inhibitor', ' PI3K inhibitor']",-0.06500879484053815,897,-1
spermine,['None'],-0.06385874846747418,852,1
SNX-5422,['HSP inhibitor'],-0.06382340424204098,732,17
disulfiram,"['aldehyde dehydrogenase inhibitor', ' DNA methyltransferase inhibitor', ' TRPV agonist']",-0.06269762026243794,874,-1
triptolide,['RNA polymerase inhibitor'],-0.06256649539082058,782,-1
tetramethylthiuram-monosulfide,['None'],-0.06181083044798196,859,1
PF-477736,['CHK inhibitor'],-0.06143038173837825,853,-1
CGP-54626,['GABA receptor antagonist'],-0.05974786761833626,517,-1
CUDC-907,['PI3K inhibitor'],-0.05959512718078514,907,8
peruvoside,['cardiac glycoside'],-0.05950166471960821,853,-1
fluvastatin,['HMGCR inhibitor'],-0.059019594512609644,914,-1
cladribine,"['adenosine deaminase inhibitor', ' ribonucleotide reductase inhibitor']",-0.056868993064292106,719,-1
clopamide,['sodium/chloride cotransporter inhibitor'],-0.056631884955605845,843,-1
motesanib,"['KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",-0.055636921675384775,802,-1
eltrombopag,['thrombopoietin receptor agonist'],-0.05407555708445422,860,-1
valnemulin,['bacterial 50S ribosomal subunit inhibitor'],-0.05402361697469803,908,-1
cinnarazine,['calcium channel blocker'],-0.05392392436901848,785,-1
crenolanib,['PDGFR tyrosine kinase receptor inhibitor'],-0.053775427095218126,909,-1
WP1130,['deubiquitinase inhibitor'],-0.05255474014320494,896,-1
amoxicillin,['penicillin binding protein inhibitor'],-0.05217368645671724,840,-1
CX-4945,['casein kinase inhibitor'],-0.05091824685190707,796,-1
RS-17053,['adrenergic receptor antagonist'],-0.04872722416222328,852,18
costunolide,['telomerase inhibitor'],-0.04784347261844377,836,-1
NVP-TAE226,['protein tyrosine kinase inhibitor'],-0.046591202040911286,857,-1
proscillaridin-a,['None'],-0.0455873844760315,719,1
broxyquinoline,['antiprotozoal agent'],-0.045227489202011494,849,-1
crizotinib,['ALK tyrosine kinase receptor inhibitor'],-0.044976042682834096,925,-1
azilsartan,['angiotensin receptor antagonist'],-0.04493756153844783,877,-1
merimepodib,['inosine monophosphate dehydrogenase inhibitor'],-0.04426833070016781,826,-1
dacinostat,['HDAC inhibitor'],-0.044166674911946154,900,11
PLX-4720,['RAF inhibitor'],-0.04229458872416498,922,-1
tagatose,['phosphorylase inhibitor'],-0.04211051371109854,873,-1
pilocarpine,['acetylcholine receptor agonist'],-0.04060701676862363,792,-1
dexrazoxane,"['chelating agent', ' topoisomerase inhibitor']",-0.04057680436465023,808,-1
INH1,['Hec1 inhibitor'],-0.0389270708682621,828,-1
BX-912,['pyruvate dehydrogenase kinase inhibitor'],-0.037995390389235634,912,-1
triciribine,['AKT inhibitor'],-0.037948229349215844,910,-1
oxcarbazepine,['sodium channel blocker'],-0.03755646993919245,811,7
SB-225002,['CC chemokine receptor antagonist'],-0.03747373588813859,732,-1
curcumin,"['cyclooxygenase inhibitor', ' histone acetyltransferase inhibitor', ' lipoxygenase inhibitor', ' NFkB pathway inhibitor']",-0.037317156012372524,905,-1
gastrodin,['None'],-0.03710430921474221,900,1
NSC-319726,['p53 activator'],-0.03565392940994486,854,-1
meclizine,['constitutive androstane receptor (CAR) agonist'],-0.03555501940067131,798,-1
thonzonium,['ATPase inhibitor'],-0.03540781809600988,816,-1
oseltamivir-phosphate,['neuraminidase inhibitor'],-0.03533353595318268,740,-1
8-bromo-cGMP,['PKA activator'],-0.033922508280906184,749,-1
deferasirox,['chelating agent'],-0.03276003879794293,890,-1
MK-5108,['Aurora kinase inhibitor'],-0.031712380678147946,909,21
5-fluorouracil,['thymidylate synthase inhibitor'],-0.031673655171038435,798,-1
refametinib,['MEK inhibitor'],-0.031569387712789644,684,4
GDC-0980,"['mTOR inhibitor', ' PI3K inhibitor']",-0.03142205190616936,925,-1
triapine,['ribonucleotide reductase inhibitor'],-0.031349162968954576,905,-1
D-64131,['microtubule inhibitor'],-0.029439137871702558,827,-1
ganetespib,['HSP inhibitor'],-0.029050458660984966,925,17
aphidicolin,['RNA synthesis inhibitor'],-0.028767138576269,732,-1
puromycin,['protein synthesis inhibitor'],-0.02810009780753355,858,5
tipifarnib,['farnesyltransferase inhibitor'],-0.027927702784857265,873,-1
naftifine,['fungal squalene epoxidase inhibitor'],-0.027695978610255443,888,-1
7-hydroxystaurosporine,"['CDK inhibitor', ' CHK inhibitor', ' PKC inhibitor']",-0.026606637581856434,732,-1
mericitabine,['HCV inhibitor'],-0.026561833141666755,809,-1
MPI-0479605,['mitotic kinase inhibitor'],-0.026534933558077563,859,-1
R306465,['HDAC inhibitor'],-0.026204148701316807,732,11
octenidine,['membrane integrity inhibitor'],-0.02596452612548654,512,-1
KI-8751,"['KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",-0.025812484285543412,874,-1
GSK923295,['centromere associated protein inhibitor'],-0.02581078831624665,826,-1
anisomycin,['DNA synthesis inhibitor'],-0.02530369725423575,896,-1
estramustine,['DNA alkylating agent'],-0.02520390094516997,925,-1
epothilone-b,"['microtubule stabilizing agent', ' tubulin polymerization inhibitor']",-0.023913908148657546,882,-1
GW-788388,['ALK tyrosine kinase receptor inhibitor'],-0.023453177154916707,797,-1
elesclomol,['oxidative stress inducer'],-0.02224296235342375,925,-1
AZD5438,['CDK inhibitor'],-0.02207303843959002,853,16
mexiletine,['sodium channel blocker'],-0.02205726685018392,903,7
epirubicin,['topoisomerase inhibitor'],-0.021843022052069644,654,6
torin-2,['mTOR inhibitor'],-0.021422047815161077,857,20
mevastatin,['HMGCR inhibitor'],-0.02109752475344862,891,-1
sirolimus,['mTOR inhibitor'],-0.02105233704907293,863,20
LY2183240,"['FAAH inhibitor', ' FAAH reuptake inhibitor']",-0.020539567263044615,922,-1
indoprofen,"['cyclooxygenase inhibitor', ' prostanoid receptor antagonist']",-0.02053607194005868,874,-1
MG-132,['proteasome inhibitor'],-0.020294180736931625,857,-1
VU0361737,['glutamate receptor positive allosteric modulator'],-0.020111800015391364,887,-1
KD-023,['ACAT inhibitor'],-0.019952124156704366,897,-1
BI-2536,['PLK inhibitor'],-0.019774900665027934,907,-1
hypoestoxide,['IKK inhibitor'],-0.0193379778121553,688,-1
monensin,['bacterial permeability inducer'],-0.018352313739488868,515,-1
brilliant-green,['None'],-0.018280707723181105,826,1
DPI-201106,['sodium channel activator'],-0.01751076601096287,835,-1
brigatinib,"['ALK tyrosine kinase receptor inhibitor', ' EGFR inhibitor']",-0.017464947995159668,839,-1
tyrphostin-AG-1478,['EGFR inhibitor'],-0.016287167697866457,901,9
TG-101348,"['FLT3 inhibitor', ' JAK inhibitor']",-0.015980056711990966,924,-1
NMS-E973,['HSP inhibitor'],-0.01584747233402241,874,17
TG-02,"['CDK inhibitor', ' FLT3 inhibitor', ' JAK inhibitor']",-0.014913376390567416,922,-1
mebendazole,['tubulin polymerization inhibitor'],-0.014068669361000817,719,19
SNX-2112,['HSP inhibitor'],-0.01395541819661168,873,17
UNC2250,['MER tyrosine kinase inhibitor'],-0.01394681222062654,829,-1
endo-IWR-1,['PARP inhibitor'],-0.013931825802473827,901,-1
almorexant,['orexin receptor antagonist'],-0.012854596002633419,788,-1
selinexor,['exportin antagonist'],-0.012589136399600024,889,-1
MK-8745,['Aurora kinase inhibitor'],-0.011867154029639905,826,21
protirelin,['thyrotropin releasing hormone receptor agonist'],-0.01115175459858798,786,-1
PD-173074,"['FGFR inhibitor', ' VEGFR inhibitor']",-0.011044113907216581,830,-1
GSK1070916,['Aurora kinase inhibitor'],-0.0110408505149535,814,21
LDN-212854,['bone morphogenic protein inhibitor'],-0.009093667838206403,896,-1
nemorubicin,['topoisomerase inhibitor'],-0.009027298961040023,889,6
BAY-11-7082,['NFkB pathway inhibitor'],-0.00824818568338125,809,-1
WP1066,['STAT inhibitor'],-0.007881697152041832,909,-1
azalomycin-b,['bacterial 50S ribosomal subunit inhibitor'],-0.007854340440230182,905,-1
primaquine,"['antimalarial agent', ' DNA inhibitor']",-0.007241316774787176,855,-1
KPT-185,['exportin antagonist'],-0.006643605017773566,889,-1
mitomycin-c,"['DNA alkylating agent', ' DNA synthesis inhibitor']",-0.006545771555333122,854,-1
melengestrol-acetate,['progesterone receptor agonist'],-0.005740426689685044,853,-1
rociletinib,['EGFR inhibitor'],-0.005615712698440414,897,9
CUDC-101,['EGFR inhibitor'],-0.00558239604298427,444,9
BMS-387032,"['CDK inhibitor', ' cell cycle inhibitor', ' MCL1 inhibitor']",-0.005372720443358002,849,-1
bisindolylmaleimide-ix,['PKC inhibitor'],-0.004996251777472301,922,-1
halofuginone,['collagenase inhibitor'],-0.004706107394678946,826,-1
AZD8330,['MEK inhibitor'],-0.0046180933824717585,919,4
A-674563,['AKT inhibitor'],-0.004501762545236,859,-1
idarubicin,['topoisomerase inhibitor'],-0.004363492344180311,805,6
9-aminoacridine,['None'],-0.0036034021029472296,856,1
triamterene,['sodium channel blocker'],-0.003548722394675329,852,7
gossypol,"['BCL inhibitor', ' MCL1 inhibitor']",-0.0005799697998033888,849,-1
CID-5458317,['MAP kinase phosphatase inhibitor'],0.0002902359636433764,912,-1
AR-12,['phosphoinositide dependent kinase inhibitor'],0.0007614628378311468,826,-1
ACY-1215,['HDAC inhibitor'],0.0018625254298838306,887,11
maxacalcitol,['vitamin D receptor agonist'],0.002879606914005449,811,-1
ETP-46464,['ATR kinase inhibitor'],0.0033011292863116787,896,-1
emetine,['protein synthesis inhibitor'],0.003842055526355805,849,5
famciclovir,['DNA polymerase inhibitor'],0.00422649299067536,694,-1
AZD8055,['mTOR inhibitor'],0.004803864530511888,853,20
nilutamide,['androgen receptor antagonist'],0.005013209063407627,758,-1
dolastatin-10,['tubulin polymerization inhibitor'],0.005048115615006552,913,19
vinorelbine,['tubulin polymerization inhibitor'],0.00543114734383591,894,19
NSC-697923,['ubiquitin-conjugating enzyme inhibitor'],0.005708965363829163,887,-1
lenalidomide,['anticancer agent'],0.006077379061927817,852,-1
toremifene,"['estrogen receptor antagonist', ' selective estrogen receptor modulator (SERM)']",0.0063655071660534916,880,-1
epothilone-d,"['microtubule stabilizing agent', ' tubulin polymerization inhibitor']",0.0070808798532302954,688,-1
ciprofibrate,['PPAR receptor agonist'],0.0078066723187855186,795,-1
4E1RCat,['protein synthesis inhibitor'],0.008215883809082931,706,5
SKF-96365,['calcium channel blocker'],0.008641101412837608,827,-1
TW-37,['BCL inhibitor'],0.008817433978051837,874,-1
NMS-1286937,['PLK inhibitor'],0.009145156138624239,688,-1
TG-100572,"['src inhibitor', ' VEGFR inhibitor']",0.009249315530862275,882,-1
quinethazone,['thiazide diuretic'],0.010650349533549933,721,-1
brefeldin-a,['protein synthesis inhibitor'],0.010722120905497977,889,5
CX-5461,['RNA polymerase inhibitor'],0.010802539348680583,873,-1
PCI-24781,['HDAC inhibitor'],0.011573646414875778,889,11
colistin-b-sulfate,['bacterial permeability inducer'],0.011834497733421653,580,-1
GSK-J4,['histone lysine demethylase inhibitor'],0.012604321848631838,875,-1
tezacaftor,['CFTR channel agonist'],0.013521261142057343,787,-1
gemcitabine,['ribonucleotide reductase inhibitor'],0.014375255297199883,832,-1
SB-2343,"['mTOR inhibitor', ' PI3K inhibitor']",0.014514751477009853,925,-1
KF-38789,['P selectin inhibitor'],0.014662344529747125,889,-1
AV-412,['protein tyrosine kinase inhibitor'],0.014843238920472726,900,-1
cephalomannine,['DNA polymerase inhibitor'],0.01636315538592442,907,-1
PD-198306,"['MAP kinase inhibitor', ' MEK inhibitor']",0.016642121389617737,893,-1
mocetinostat,['HDAC inhibitor'],0.016888794049305673,503,11
voxtalisib,"['mTOR inhibitor', ' PI3K inhibitor']",0.017317267743485413,908,-1
EVP4593,['NFkB pathway inhibitor'],0.020096966677476718,896,-1
Ro-106-9920,['NFkB pathway inhibitor'],0.021370120337103626,896,-1
CH5132799,['PI3K inhibitor'],0.02231910743699975,732,8
formestane,['aromatase inhibitor'],0.02294941494894641,853,-1
desonide,['glucocorticoid receptor agonist'],0.023819198906330687,877,3
CYT-997,['tubulin polymerization inhibitor'],0.02385364269557684,889,19
vorinostat,['HDAC inhibitor'],0.025255823124545315,922,11
SU014813,"['PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",0.025616969602347987,918,-1
clofoctol,['protein synthesis inhibitor'],0.025688823435044326,774,5
fenbendazole,['tubulin polymerization inhibitor'],0.02590161303395594,805,19
NVP-BHG712,['ephrin inhibitor'],0.02615490509440202,849,-1
acivicin,['gamma glutamyltransferase Inhibitors'],0.026832308108399344,782,-1
pacritinib,"['FLT3 inhibitor', ' JAK inhibitor']",0.02689918071602642,856,-1
LY2334737,"['antitumor agent', ' ribonucleotide reductase inhibitor']",0.027129490115918416,849,-1
spironolactone,['mineralocorticoid receptor antagonist'],0.027307460462899624,798,-1
LY2090314,['glycogen synthase kinase inhibitor'],0.027560713126710212,862,-1
idoxuridine,['DNA directed DNA polymerase inhibitor'],0.027720029729629003,869,-1
GSK2126458,"['mTOR inhibitor', ' PI3K inhibitor']",0.02866093360404504,732,-1
diclazuril,['antiprotozoal agent'],0.02975453391781733,826,-1
carfilzomib,['proteasome inhibitor'],0.031050467353348186,925,-1
genz-644282,['topoisomerase inhibitor'],0.0313743796706994,873,6
PU-H71,['HSP inhibitor'],0.03140971565710614,900,17
menadione,"['mitochondrial DNA polymerase inhibitor', ' phosphatase inhibitor']",0.031991951927905965,789,-1
ixazomib-citrate,['proteasome inhibitor'],0.03202749440770813,826,-1
ML133,['potassium channel blocker'],0.03233290621167321,877,-1
mexeneone,['None'],0.0324523361217267,822,1
CD-437,['retinoid receptor agonist'],0.0329700798216794,896,-1
amsacrine,['topoisomerase inhibitor'],0.033452267632115826,805,6
LDN-57444,['ubiquitin C-terminal hydrolase inhibitor'],0.03469849010314966,840,-1
domperidone,['dopamine receptor antagonist'],0.03527832411048671,789,13
fexinidazole,['None'],0.03528872696812483,635,1
methotrexate,['dihydrofolate reductase inhibitor'],0.0356463281571541,719,-1
anguidine,['protein synthesis inhibitor'],0.03566325157729433,849,5
GDC-0349,['Pim kinase inhibitor'],0.036089722071546634,924,-1
10-hydroxycamptothecin,['topoisomerase inhibitor'],0.036310747549243606,857,6
crizotinib-(S),['MTH1 inhibitor'],0.03667322369124553,851,-1
mesoridazine,['dopamine receptor antagonist'],0.037379475505354545,745,13
serdemetan,['MDM inhibitor'],0.03756095803704969,683,-1
GDC-0152,['XIAP inhibitor'],0.03781812623696406,853,-1
trimebutine,['opioid receptor agonist'],0.0385838337533778,824,-1
ONX-0914,['proteasome inhibitor'],0.0391925618858796,858,-1
torin-1,['mTOR inhibitor'],0.03921904030186809,896,20
floxuridine,['DNA synthesis inhibitor'],0.03929476167855341,858,-1
erteberel,['estrogen receptor agonist'],0.03950798521295913,893,-1
mubritinib,['protein tyrosine kinase inhibitor'],0.04047883372405268,688,-1
dioscin,['apoptosis stimulant'],0.04048918172970413,857,-1
bruceantin,['protein synthesis inhibitor'],0.041232501921121024,907,5
harringtonine,['protein synthesis inhibitor'],0.041702498339286354,849,5
AT-9283,"['Aurora kinase inhibitor', ' JAK inhibitor']",0.04182777384244259,843,-1
erlotinib,['EGFR inhibitor'],0.04199230584207941,925,9
aminoglutethimide,['glucocorticoid receptor antagonist'],0.041993266326963735,921,-1
darapladib,['phospholipase inhibitor'],0.04427218953350899,900,-1
busulfan,['DNA inhibitor'],0.04620578882351264,796,15
PF-05212384,"['mTOR inhibitor', ' PI3K inhibitor']",0.046739352280197224,925,-1
benzethonium,['sodium channel blocker'],0.04724279981612159,727,7
marimastat,['matrix metalloprotease inhibitor'],0.04740097451803482,894,-1
atipamezole,['adrenergic receptor antagonist'],0.047489573095361504,903,18
plinabulin,['tubulin polymerization inhibitor'],0.047522304773214,907,19
PHA-665752,['c-Met inhibitor'],0.04766443652005993,859,-1
LY364947,"['TGF beta receptor inhibitor', ' p38 MAPK inhibitor']",0.04963982849625227,795,-1
dolutegravir,['HIV integrase inhibitor'],0.04979584633779232,710,-1
fludarabine-phosphate,['ribonucleotide reductase inhibitor'],0.04982727234417935,855,-1
iododexetimide,['acetylcholine receptor antagonist'],0.050434318802378295,810,-1
bardoxolone,"['nuclear factor erythroid derived', ' like (NRF2) activator']",0.05070005399019662,683,-1
gambogic-acid,['caspase activator'],0.05082699844081824,925,-1
betamethasone-dipropionate,['anti-inflammatory agent'],0.051297059340390784,869,-1
ribavirin,['antiviral'],0.05136662360258492,848,-1
lasalocid,['bacterial permeability inducer'],0.05153579411479181,850,-1
lestaurtinib,"['FLT3 inhibitor', ' growth factor receptor inhibitor', ' JAK inhibitor']",0.05201423227130994,732,-1
3-deazaneplanocin-A,['histone lysine methyltransferase inhibitor'],0.0523950135839324,904,-1
CEP-37440,['ALK tyrosine kinase receptor inhibitor'],0.05308301644113671,843,-1
sodium-glucoheptonate,['None'],0.05402618960746937,754,1
PR-619,['DUB inhibitor'],0.05454351002399143,816,-1
epothilone-a,['microtubule stabilizing agent'],0.05482274646397274,897,-1
JTC-801,['opioid receptor antagonist'],0.054843343511687334,889,-1
trapidil,['PDGFR tyrosine kinase receptor inhibitor'],0.055830490269896386,902,-1
PD-153035,['EGFR inhibitor'],0.056005616740117704,845,9
K-858,['kinesin-like spindle protein inhibitor'],0.05607999454288756,859,-1
AC-264613,['PAR agonist'],0.05705655891327039,873,-1
LY2874455,['FGFR antagonist'],0.057180059492324124,814,-1
hydroxyurea,['ribonucleotide reductase inhibitor'],0.05720093934478981,894,-1
MEK162,['MEK inhibitor'],0.05724534804279206,826,4
defactinib,['focal adhesion kinase inhibitor'],0.05727779238086808,685,-1
licochalcone-a,['topoisomerase inhibitor'],0.05845776984039978,887,6
3-amino-benzamide,['PARP inhibitor'],0.05857802119081727,879,-1
chlormidazole,['fungal lanosterol demethylase inhibitor'],0.05907743630278787,894,-1
penfluridol,['T-type calcium channel blocker'],0.05957831958196344,908,-1
oxiperomide,['dopamine receptor antagonist'],0.060630228682990686,833,13
PP-121,['protein tyrosine kinase inhibitor'],0.06071495284064817,896,-1
raltitrexed,['thymidylate synthase inhibitor'],0.06133762486644865,904,-1
volasertib,['PLK inhibitor'],0.061457607641568664,925,-1
eprinomectin,['benzodiazepine receptor agonist'],0.06157843491126911,636,14
oprozomib,['proteasome inhibitor'],0.06182190188371273,732,-1
SCH-58261,['adenosine receptor antagonist'],0.06185568441292139,796,-1
golvatinib,['VEGFR inhibitor'],0.062307081838818855,878,-1
metatinib,['Bcr-Abl kinase inhibitor'],0.06307134836352739,924,-1
SGI-1027,['DNA methyltransferase inhibitor'],0.06398516471330574,922,-1
OTS167,['maternal embryonic leucine zipper kinase inhibitor'],0.0650149080968955,925,-1
propoxycaine,['local anesthetic'],0.06537381030012043,785,-1
cholecalciferol,['None'],0.0665406944085301,894,1
tetrandrine,['calcium channel blocker'],0.06809860177182898,897,-1
STF-118804,['NAMPT inhibitor'],0.0687063508634091,857,-1
triamcinolone-acetonide,"['glucocorticoid receptor agonist', ' immunosuppressant']",0.06882498258476054,575,-1
AR-42,['HDAC inhibitor'],0.06889099085529685,878,11
podophyllotoxin,"['microtubule inhibitor', ' tubulin polymerization inhibitor']",0.06891591680330647,905,-1
bardoxolone-methyl,"['nuclear factor erythroid derived', ' like (NRF2) activator']",0.0690111404638253,925,-1
frentizole,['immunosuppressant'],0.0692543003349665,916,-1
PJ-34,['PARP inhibitor'],0.0708055451747904,854,-1
triclabendazole,['microtubule inhibitor'],0.07086426830364784,905,-1
regorafenib,"['FGFR inhibitor', ' KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' RAF inhibitor', ' RET tyrosine kinase inhibitor', ' VEGFR inhibitor']",0.07346540606956582,925,-1
doxifluridine,['thymidylate synthase inhibitor'],0.07352193321594545,879,-1
