drug_name,moa,avg_delta_s_prime,gene_count,dbscan_cluster_label
aspirin,['cyclooxygenase inhibitor'],0.884272170962313,791,10
IDRA-21,['glutamate receptor positive allosteric modulator'],0.8927635748048908,854,-1
GW-441756,['growth factor receptor inhibitor'],0.897465935110221,850,-1
metronidazole,['DNA inhibitor'],0.8988769644985076,813,15
bumetanide,['solute carrier family member inhibitor'],0.9057290395282962,717,-1
palmitoylethanolamide,['cannabinoid receptor agonist'],0.9094443569820028,762,-1
arctigenin,['MEK inhibitor'],0.9099056491367943,914,4
lacitol,['osmosis stimulant'],0.9165366645312397,649,-1
buphenine,['adrenergic receptor agonist'],0.917867529876884,754,2
triamcinolone,['glucocorticoid receptor agonist'],0.9245939329856233,819,3
trametinib,['MEK inhibitor'],0.9315754913569166,925,4
cefpiramide,['bacterial cell wall synthesis inhibitor'],0.9325348608282505,798,-1
"hydroxytacrine-maleate-(r,s)",['cholinesterase inhibitor'],0.9334260470514713,839,-1
halcinonide,['glucocorticoid receptor agonist'],0.934879438547165,805,3
osimertinib,['EGFR inhibitor'],0.9362124262172369,915,9
4-methylhistamine,['histamine receptor agonist'],0.9424902620421388,785,-1
oleanolic-acid,['G protein-coupled receptor agonist'],0.9442634249616804,732,-1
berberine,['LDL receptor activator'],0.9455354839476094,873,-1
GDC-0941,['PI3K inhibitor'],0.9619966652735545,873,8
nitarsone,['None'],0.9647195379861805,688,1
YO-01027,['gamma secretase inhibitor'],0.9647985214144572,853,-1
letrozole,['aromatase inhibitor'],0.9692356128750266,815,-1
fenaclon,['None'],0.9736228014662585,713,1
levocetirizine,['histamine receptor antagonist'],0.9754638833189544,893,0
ribociclib,['CDK inhibitor'],0.9785805753495136,915,16
ABT-737,['BCL inhibitor'],0.9818930349026279,922,-1
